WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..Gals.,EUR_o..Mstb.,Length,NStages,TotalFluid_Comp,Total_Proppant,Nrecords
317,512,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37697,2003,31.692040000000002,-101.99936,10500,40,160,WFMP,SPBR_U --> WFMP,4.0,7,0.0,4000.0,348536.0,0.0,293688.0,352536.0,75.676,2723,1,2205882.0,1292000.0,1
0,2,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37698,2003,31.657529999999998,-101.72135,8550,160,40,WFMP,SPBR_U --> WFMP,3.0,6,0.0,3500.0,187446.0,0.0,471330.0,190946.0,40.2,1604,3,190946.0,471330.0,6
1,3,D,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37698,2003,31.715659999999996,-101.71786999999999,8550,40,40,WFMP,CLFK --> WFMP,3.0,8,0.0,5000.0,201390.0,0.0,476570.0,206390.0,39.05038257,1560,3,206390.0,476570.0,8
916,1537,E,APACHE CORPORATION,REAGAN,37699,2003,31.47761,-101.63429000000001,8225,40,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,222222.0,0.0,289940.0,222222.0,26.20745867,1744,11,748044.0,596500.0,11
921,1546,E,APACHE CORPORATION,REAGAN,37701,2003,31.4544,-101.63619,8225,40,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,212226.0,0.0,290950.0,212226.0,31.19237239,2173,1,865494.0,729129.0,2
923,1549,E,APACHE CORPORATION,REAGAN,37701,2003,31.547629999999998,-101.67463000000001,8237,20,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,193372.0,0.0,290360.0,193372.0,39.96278973,2299,3,1264426.0,1217501.0,6
909,1528,E,APACHE CORPORATION,REAGAN,37701,2003,31.456840000000003,-101.64135,8245,20,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,209197.0,0.0,290050.0,209197.0,55.292,2760,1,1409520.0,888500.0,1
935,1568,E,APACHE CORPORATION,REAGAN,37703,2003,31.548270000000002,-101.63901,8227,40,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,189533.0,0.0,289640.0,189533.0,29.19716485,2340,3,1301420.0,1244624.0,6
903,1521,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37704,2003,31.63317,-101.65241999999999,8355,160,40,SPBR_L,SPBR_U --> SPBR_L,3.0,8,0.0,5000.0,197316.0,0.0,311100.0,202316.0,36.28399577,2831,4,1389341.0,1423712.0,8
902,1520,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37704,2003,31.56464,-101.76736,8660,Over 160,40,WFMP,SPBR_U --> WFMP,3.0,8,0.0,5000.0,195972.0,0.0,307850.0,200972.0,59.67281149,2470,1,1314264.0,830181.0,1
943,1577,E,APACHE CORPORATION,REAGAN,37711,2003,31.52689,-101.6323,8240,40,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,197782.0,0.0,290200.0,197782.0,16.66110048,3134,1,203280.0,150000.0,1
3,7,F,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,GLASSCOCK,37714,2003,31.70024,-101.52356999999999,8900,80,80,WFMP,CLFK --> WFMP,1.0,1,247212.0,0.0,0.0,0.0,265000.0,247212.0,22.156,1574,3,126000.0,495000.0,4
316,510,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37716,2003,31.6616,-102.0168,10500,40,80,WFMP,SPBR_U --> WFMP,5.0,10,0.0,11000.0,319964.0,0.0,274296.0,330964.0,45.17484084,2669,1,2159472.0,1064000.0,1
295,480,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37716,2003,31.7089,-101.9754,10500,80,160,WFMP,SPBR_U --> WFMP,4.0,8,0.0,5000.0,346629.0,0.0,312260.0,351629.0,65.232,2677,8,805500.0,621813.0,8
322,521,A,DISCOVERY OPERATING INCORPORATED,MIDLAND,37718,2003,31.76902,-102.07469,10115,80,80,WFMP,SPBR_U --> WFMP,2.0,4,439000.0,35550.0,0.0,0.0,243000.0,474550.0,38.332,3259,6,2201300.0,1350000.0,12
1361,2256,C,PIONEER NATURAL RESOURCES USA INC,UPTON,37719,2003,31.56046,-101.84707,8950,80,40,WFMP,SPBR_U --> WFMP,3.0,6,0.0,5000.0,201474.0,0.0,466630.0,206474.0,29.576,1570,4,247328.0,545720.0,8
904,1523,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37719,2003,31.54523,-101.62044,8198,80,40,SPBR_L,SPBR_U --> SPBR_L,3.0,8,0.0,5000.0,202337.0,0.0,470740.0,207337.0,35.02434343,3409,1,126000.0,13000.0,1
311,503,C,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37720,2003,31.86433,-101.9524,10800,40,Sub 20,WFMP,SPBR_U --> WFMP,1.0,1,304080.0,0.0,0.0,0.0,403560.0,304080.0,32.36,3901,7,726000.0,913000.0,14
285,464,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37720,2003,31.76507,-102.01066,11000,40,160,WFMP,CLFK --> WFMP,1.0,1,421008.0,0.0,0.0,0.0,401920.0,421008.0,68.90641599,3823,7,515000.0,824000.0,14
912,1531,E,APACHE CORPORATION,REAGAN,37721,2003,31.475720000000003,-101.64258000000001,8258,40,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,243264.0,0.0,290750.0,243264.0,42.468,2860,1,1445514.0,926180.0,1
310,502,C,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37722,2003,31.85098,-101.94733000000001,10800,40,40,WFMP,SPBR_U --> WFMP,1.0,1,3044034.0,0.0,0.0,0.0,525460.0,3044034.0,13.255999999999998,3890,7,532000.0,887000.0,14
905,1524,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37726,2003,31.537809999999997,-101.6181,8210,80,40,SPBR_L,CLFK --> SPBR_L,3.0,8,0.0,5000.0,196980.0,0.0,468860.0,201980.0,29.088,3262,1,1351602.0,107600.0,1
900,1517,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37726,2003,31.628429999999998,-101.74845,8590,Over 160,40,SPBR_L,SPBR_U --> SPBR_L,3.0,6,0.0,1500.0,193946.0,1500.0,668600.0,196946.0,26.151999999999997,2619,3,1192926.0,1445816.0,6
901,1519,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37732,2003,31.6031,-101.74503,8540,40,40,SPBR_L,SPBR_U --> SPBR_L,3.0,8,0.0,45500.0,2495052.0,500.0,472550.0,2541052.0,32.70993787,2403,1,1015350.0,717041.0,1
936,1569,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37732,2003,31.61882,-101.7411,8590,160,40,WFMP,CLFK --> WFMP,3.0,6,0.0,5000.0,189042.0,0.0,472100.0,194042.0,40.412,2012,3,958496.0,975687.0,6
5,11,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37733,2003,31.665540000000004,-101.71945,8600,160,40,WFMP,SPBR_U --> WFMP,3.0,7,0.0,5000.0,207551.0,0.0,471280.0,212551.0,57.8056949,1618,3,203685.0,470300.0,8
4,10,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37733,2003,31.691340000000004,-101.72306999999999,8575,Over 160,40,WFMP,SPBR_U --> WFMP,3.0,8,0.0,5000.0,196636.0,0.0,318180.0,201636.0,45.276,1652,3,213651.0,472140.0,7
944,1578,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37733,2003,31.617279999999997,-101.73196999999999,8577,40,40,WFMP,CLFK --> WFMP,3.0,7,1000.0,3000.0,189546.0,0.0,470820.0,193546.0,44.123999999999995,2652,4,1335581.0,1381241.0,8
929,1558,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37733,2003,31.608929999999997,-101.75121,8690,160,40,WFMP,CLFK --> WFMP,3.0,8,0.0,5000.0,195760.0,0.0,470980.0,200760.0,45.448,1929,1,580500.0,559500.0,3
942,1576,E,APACHE CORPORATION,REAGAN,37734,2003,31.47996,-101.62649,8276,40,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,220500.0,0.0,289330.0,220500.0,26.95602748,2774,4,1390898.0,1407226.0,8
925,1552,E,APACHE CORPORATION,REAGAN,37735,2003,31.5389,-101.68047,8246,40,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,154000.0,0.0,291000.0,154000.0,13.363,2882,3,1204944.0,1083932.0,6
922,1547,E,APACHE CORPORATION,REAGAN,37741,2003,31.483829999999998,-101.62316,8270,40,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,113000.0,0.0,284000.0,113000.0,41.02,2216,1,865494.0,729129.0,2
950,1592,E,APACHE CORPORATION,REAGAN,37741,2003,31.4242,-101.63561,8246,40,20,WFMP,CLFK --> WFMP,1.0,1,0.0,0.0,166295.0,0.0,289000.0,166295.0,39.063212299999996,3200,4,1434357.0,1447742.0,8
328,531,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37742,2003,31.7195,-101.9959,10515,80,80,WFMP,SPBR_L --> WFMP,4.0,8,281233.0,10000.0,0.0,0.0,166834.0,291233.0,37.02778895,3163,8,1267900.0,1080000.0,12
930,1561,F,APACHE CORPORATION,REAGAN,37743,2003,31.643309999999996,-101.55852,8300,80,40,WFMP,CLFK --> WFMP,4.0,8,99400.0,6000.0,181370.0,0.0,504000.0,286770.0,36.91160307,2750,1,1495872.0,919500.0,1
326,529,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37746,2003,31.952579999999998,-101.83381,9415,80,40,WFMP,SPBR_U --> WFMP,4.0,9,0.0,5500.0,268417.0,0.0,489980.0,273917.0,58.376000000000005,3475,6,2308800.0,1350000.0,12
933,1565,F,APACHE CORPORATION,REAGAN,37747,2003,31.60975,-101.51736,8450,80,80,WFMP,SPBR_U --> WFMP,4.0,8,85000.0,6000.0,180200.0,0.0,498500.0,271200.0,65.90859364,2585,1,1256850.0,819500.0,1
287,469,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37750,2003,31.7346,-102.0277,10500,160,80,WFMP,SPBR_U --> WFMP,4.0,7,0.0,7000.0,265650.0,0.0,247891.0,272650.0,38.20476317,2629,1,938616.0,1134000.0,1
907,1526,F,PIONEER NATURAL RESOURCES USA INC,REAGAN,37753,2003,31.551509999999997,-101.59196999999999,8120,40,40,WFMP,CLFK --> WFMP,3.0,8,0.0,5000.0,192595.0,0.0,472560.0,197595.0,28.91222461,3155,1,1169910.0,782000.0,1
305,493,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37753,2003,31.75031,-102.00976999999999,10300,40,80,WFMP,SPBR_U --> WFMP,1.0,1,340998.0,0.0,0.0,0.0,341850.0,340998.0,35.397,2805,1,295008.0,1624000.0,1
926,1553,E,APACHE CORPORATION,REAGAN,37753,2003,31.4905,-101.66056999999999,8252,80,40,WFMP,CLFK --> WFMP,1.0,1,0.0,0.0,172536.0,0.0,289760.0,172536.0,15.787188699999998,2930,3,1252408.0,1458884.0,6
911,1530,F,PIONEER NATURAL RESOURCES USA INC,REAGAN,37754,2003,31.55065,-101.59574,8135,40,40,WFMP,SPBR_U --> WFMP,3.0,8,0.0,5000.0,207501.0,0.0,487320.0,212501.0,56.83181047,2765,1,1047774.0,682000.0,1
946,1581,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37754,2003,31.64919,-101.66118,8440,80,40,WFMP,CLFK --> WFMP,3.0,7,0.0,4000.0,214452.0,0.0,471640.0,218452.0,21.748,2871,1,124000.0,120000.0,1
906,1525,F,PIONEER NATURAL RESOURCES USA INC,REAGAN,37754,2003,31.545209999999997,-101.58525999999999,8112,80,40,WFMP,CLFK --> WFMP,3.0,6,0.0,3500.0,197736.0,0.0,470760.0,201236.0,38.48,3719,1,116760.0,100000.0,2
325,527,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37755,2003,31.702659999999998,-102.03501,10700,80,160,WFMP,SPBR_U --> WFMP,1.0,1,317940.0,0.0,0.0,0.0,386540.0,317940.0,14.66478303,3576,5,1370716.0,1392408.0,10
318,513,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37763,2003,31.781290000000002,-101.93888000000001,10500,40,80,WFMP,SPBR_U --> WFMP,6.0,14,0.0,8000.0,392910.0,0.0,535133.0,400910.0,48.24429574,3553,6,2308400.0,1350000.0,12
948,1585,F,APACHE CORPORATION,REAGAN,37764,2003,31.63937,-101.57493000000001,8050,160,40,SPBR_L,SPBR_U --> SPBR_L,3.0,6,0.0,3000.0,174200.0,0.0,461800.0,177200.0,33.07515132,2945,1,1609188.0,967500.0,1
951,1593,E,APACHE CORPORATION,REAGAN,37768,2003,31.4866,-101.62778,8280,80,40,WFMP,CLFK --> WFMP,1.0,1,0.0,0.0,141194.0,0.0,288550.0,141194.0,24.752,2617,4,1221621.0,1320008.0,8
932,1564,F,APACHE CORPORATION,REAGAN,37774,2003,31.61,-101.56591999999999,8000,80,40,SPBR_L,SPBR_U --> SPBR_L,3.0,6,0.0,3000.0,172000.0,0.0,463200.0,175000.0,25.408,2822,3,1308432.0,1410554.0,6
931,1563,F,APACHE CORPORATION,REAGAN,37774,2003,31.6183,-101.54685,8047,40,20,SPBR_L,SPBR_U --> SPBR_L,3.0,6,0.0,3000.0,172200.0,0.0,460600.0,175200.0,34.89567384,3134,4,1429125.0,1449098.0,8
306,495,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37777,2003,31.75426,-102.00885,10265,40,40,WFMP,SPBR_L --> WFMP,1.0,1,197232.0,0.0,0.0,0.0,257320.0,197232.0,35.86682289,3764,3,1401745.0,1498012.0,6
344,558,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37777,2003,31.7186,-101.9822,10480,40,160,WFMP,SPBR_U --> WFMP,5.0,10,290069.0,11000.0,0.0,0.0,250780.0,301069.0,61.44099752,2195,1,162500.0,406000.0,2
290,472,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37778,2003,31.7036,-102.1107,10515,160,40,STRAWN,SPBR_U --> STRAWN,5.0,9,0.0,10000.0,346635.0,0.0,301870.0,356635.0,26.874748800000003,2236,1,914718.0,893700.0,1
291,473,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37778,2003,31.6883,-102.0792,10500,80,80,WFMP,SPBR_U --> WFMP,5.0,9,321655.0,10000.0,0.0,0.0,270589.0,331655.0,42.604159100000004,3850,5,1437028.0,1553905.0,10
914,1533,E,APACHE CORPORATION,REAGAN,37780,2003,31.469179999999998,-101.63631,8250,40,20,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,138440.0,0.0,290080.0,138440.0,17.685,1750,1,431800.0,530100.0,2
319,514,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37781,2003,31.74117,-101.86813000000001,9080,160,40,WFMP,SPBR_U --> WFMP,3.0,7,0.0,4000.0,193620.0,0.0,472700.0,197620.0,19.40387603,2481,1,1196496.0,979064.0,1
320,516,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37782,2003,31.74105,-101.83669,8900,80,40,WFMP,SPBR_U --> WFMP,3.0,8,0.0,5000.0,176026.0,0.0,473100.0,181026.0,48.98034099,2681,10,1004500.0,761501.0,10
345,560,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37784,2003,31.72532,-101.96883000000001,10495,40,80,WFMP,SPBR_U --> WFMP,4.0,8,236734.0,8000.0,0.0,0.0,255165.0,244734.0,34.02,2561,4,330413.0,271928.0,8
324,526,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37795,2003,31.92875,-101.84348,9400,20,20,WFMP,CLFK --> WFMP,4.0,9,73470.0,4000.0,201180.0,0.0,488719.0,278650.0,52.728,4027,6,2333700.0,1350000.0,12
952,1595,E,APACHE CORPORATION,REAGAN,37796,2003,31.451659999999997,-101.68412,8200,160,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,153212.0,0.0,290310.0,153212.0,22.30126664,2572,4,1384422.0,1402719.0,8
288,470,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37800,2003,31.7466,-101.9916,10500,80,80,WFMP,SPBR_L --> WFMP,4.0,8,0.0,10000.0,283156.0,0.0,172588.0,293156.0,37.41851414,2513,1,585900.0,845407.0,1
352,568,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37802,2003,31.7462,-102.027,10542,80,160,WFMP,SPBR_U --> WFMP,5.0,9,313611.0,10000.0,0.0,0.0,260479.0,323611.0,53.92,1612,3,225837.0,155899.0,6
293,476,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37806,2003,31.801,-102.0172,10515,80,80,WFMP,SPBR_L --> WFMP,3.0,6,0.0,7000.0,218837.0,0.0,155899.0,225837.0,21.75125213,3786,5,1320599.0,1479425.0,10
6,13,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.65428,-101.6588,8440,80,40,WFMP,SPBR_U --> WFMP,3.0,8,0.0,5000.0,198685.0,0.0,470300.0,203685.0,29.45106486,1632,3,200802.0,284604.0,8
9,17,F,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.653890000000004,-101.62808000000001,8335,80,40,WFMP,SPBR_U --> WFMP,3.0,8,0.0,5000.0,198996.0,0.0,472820.0,203996.0,42.256,2883,1,365778.0,386500.0,1
941,1575,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37810,2003,31.598679999999998,-101.73058,8550,Over 160,40,WFMP,CLFK --> WFMP,3.0,8,0.0,5000.0,133854.0,0.0,473380.0,138854.0,37.176,2261,1,189000.0,130000.0,1
938,1571,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37810,2003,31.461270000000003,-101.72219,9250,80,20,WFMP,SPBR_U --> WFMP,3.0,8,0.0,4000.0,200202.0,0.0,471451.0,204202.0,33.312,3334,1,97146.0,11000.0,1
937,1570,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37810,2003,31.473679999999998,-101.73479,9300,160,80,WFMP,CLFK --> WFMP,5.0,10,0.0,5000.0,351901.0,0.0,507061.0,356901.0,25.76,2355,3,1029771.0,1250497.0,6
7,14,E,PIONEER NATURAL RESOURCES USA INC,GLASSCOCK,37810,2003,31.671059999999997,-101.68159,8530,80,40,WFMP,SPBR_L --> WFMP,2.0,5,0.0,3500.0,146370.0,0.0,335820.0,149870.0,24.156,1653,3,203529.0,471910.0,7
945,1579,E,PIONEER NATURAL RESOURCES USA INC,REAGAN,37810,2003,31.588929999999998,-101.70911,8540,Over 160,40,WFMP,CLFK --> WFMP,3.0,7,0.0,4000.0,186354.0,0.0,472120.0,190354.0,31.38,1841,6,423000.0,642000.0,12
339,552,D,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37822,2003,31.93618,-101.80516999999999,9265,40,20,WFMP,CLFK --> WFMP,4.0,8,0.0,5500.0,269819.0,0.0,490430.0,275319.0,28.908,1782,1,1092252.0,721983.0,1
