WellID,Number,Type,Depth Top,Depth Base,Fluid Amount,Fluid Units,Fluid Type,Propping Agent Amount,Propping Agent Units,Propping Agent Type,Pressure Breakdown,Injection Rate,Additive,Mesh Size,Remark
10,6,FRAC,6758,6935,61194.0,GAL,X-LINKGEL,147140.0,LB,SAND,,,,20/40,
10,7,ACID,6758,6935,500.0,GAL,A,0,undefined,undefined,,28,HCL,,SPEARHEAD 7.5%
11,1,ACID,8023,8242,1500.0,GAL,A,0,undefined,undefined,2290,,HCL,,7.5%
11,2,FRAC,8023,8242,65184.0,GAL,X-LINKGEL,157621.0,LB,SAND,,,XLNK,20/40,30# BORATE
11,3,FLSH,7324,7508,1000.0,GAL,A,0,undefined,undefined,,30,HCL,,7.5%
11,4,FRAC,7324,7508,77028.0,GAL,X-LINKGEL,178837.0,LB,SAND,,,XLNK,20/40,20# BORATE
11,5,ACID,7324,7508,1000.0,GAL,A,0,undefined,undefined,,,HCL,,7.5%
11,6,FLSH,6624,6789,1000.0,GAL,A,0,undefined,undefined,,,HCL,,7.5%
11,7,FRAC,6624,6789,56473.0,GAL,X-LINKGEL,133842.0,LB,SAND,,,XLNK,20/40,20# BORATE
11,8,ACID,6624,6789,500.0,GAL,A,0,undefined,undefined,,34,HCL,,7.5%
13,1,ACID,8100,8356,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7.5%
13,2,FRAC,8100,8356,62370.0,GAL,X-LINKGEL,149244.0,LB,SAND,,,XLNK,20/40,
13,4,FLSH,7406,7598,1000.0,GAL,A,0,undefined,undefined,,30,HCL,,7.5%
13,5,FRAC,7406,7598,86688.0,GAL,X-LINKGEL,,,,,,XLNK,,20# BORATE GEL
13,6,ACID,7406,7598,1000.0,GAL,A,0,undefined,undefined,,32,HCL,,7.5%
13,7,ACID,6724,6886,200.0,GAL,A,0,undefined,undefined,,,,,10% ACETIC
13,8,FRAC,6724,6886,47544.0,GAL,X-LINKGEL,135360.0,LB,SAND,,,XLNK,20/40,20# BORATE
13,9,REACID,6724,6886,500.0,GAL,A,0,undefined,undefined,,,HCL,,SPEARHEAD W/ 7.5%
14,1,ACID,8186,8468,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
14,2,FRAC,8186,8468,65688.0,GAL,X-LINKGEL,153977.0,LB,SAND,,,,20/40,30# BORATE
14,3,FLSH,7432,7718,1000.0,GAL,A,0,undefined,undefined,,32,HCL,,7 1/2%
14,4,FRAC,7432,7718,79745.0,GAL,X-LINKGEL,181943.0,LB,SAND,,28,XLNK,20/40,20# BORATE
14,5,ACID,7432,7718,1000.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
14,6,ACID,6815,6992,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
14,7,FRAC,6815,6992,53096.0,GAL,X-LINKGEL,135990.0,LB,SAND,,,,20/40,20# BORATE
16,1,ACID,8153,8422,1500.0,GAL,A,0,undefined,undefined,2130,,HCL,,7.5% HCL
16,2,FRAC,8153,8422,68880.0,GAL,X-LINKGEL,178594.0,LB,SAND,,,XLNK,20/40,30# BORATE GEL
16,3,FLSH,7536,7694,1000.0,GAL,A,0,undefined,undefined,,,HCL,,7.5% HCL
16,4,FRAC,7536,7694,71723.0,GAL,X-LINKGEL,164658.0,LB,SAND,,,XLNK,20/40,20# BORATE GEL
16,5,ACID,7536,7694,1000.0,GAL,A,0,undefined,undefined,,,HCL,,7.5% HCL
16,6,FLSH,6833,6998,1000.0,GAL,A,0,undefined,undefined,,,HCL,,7.5% HCL
16,7,FRAC,6833,6998,52622.0,GAL,X-LINKGEL,127378.0,LB,SAND,,,XLNK,20/40,20# BORATE GEL
16,8,ACID,6833,6998,500.0,GAL,A,0,undefined,undefined,,,HCL,,7.5% HCL
17,1,FRAC,6150,9033,365778.0,GAL,W,386500.0,LB,SAND,,,,,"286300 # 20/40, 100200 # 16/30"
22,1,ACID,8194,8481,1500.0,GAL,A,0,undefined,undefined,1520,,HCL,,7.5% HCL
22,2,FRAC,8194,8481,69829.0,GAL,X-LINKGEL,180142.0,LB,SAND,,,XLNK,20/40,30# BORATE GEL
22,3,FLSH,7399,7716,1000.0,GAL,A,0,undefined,undefined,,,HCL,,7.5% HCL
22,4,FRAC,7399,7716,76524.0,GAL,X-LINKGEL,184109.0,LB,SAND,,,XLNK,20/40,20# BORATE GEL
22,5,ACID,7399,7716,1000.0,GAL,A,0,undefined,undefined,,,HCL,,7.5% HCL
22,6,FLSH,6816,7184,1000.0,GAL,A,0,undefined,undefined,,32,HCL,,7.5% HCL
22,7,FRAC,6816,7184,49434.0,GAL,X-LINKGEL,107319.0,LB,SAND,,,XLNK,20/40,
22,8,ACID,6816,7184,500.0,GAL,A,0,undefined,undefined,,30,HCL,,7.5% HCL
23,1,FRAC,6155,8823,317478.0,GAL,X-LINKGEL,384990.0,LB,SAND,,,WGEL,,"DETAILS; SLCK WTR, AMBOR 1025, AMBOR 1020, AMGEL, 285250# 20/40 SD , 99740 # 16/30 BRADY SD"
25,1,ACID,7972,8193,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
25,2,FRAC,7972,8193,66738.0,GAL,X-LINKGEL,157647.0,LB,SAND,,34,,20/40,25# BORATE
25,3,ACID,7239,7473,1000.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
25,4,FRAC,7239,7473,74844.0,GAL,X-LINKGEL,183286.0,LB,SAND,,30,,20/40,20# BORATE
25,5,ACID,6487,6817,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
25,6,FRAC,6487,6817,54390.0,GAL,X-LINKGEL,132197.0,LB,SAND,,30,,20/40,20# BORATE
25,7,FRAC,8386,8598,72618.0,GAL,GEL,17261.0,LB,SAND,,46.5,,20/40,10# LINEAR
25,8,ACID,8888,8898,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
25,9,FRAC,8888,8898,81552.0,GAL,GEL,17739.0,LB,SAND,,37.7,,20/40,10# LINEAR
26,1,ACID,7972,8185,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
26,2,FRAC,7972,8185,63798.0,GAL,X-LINKGEL,155828.0,LB,SAND,,31.5,,20/40,30# BORATE
26,3,ACID,7124,7597,2000.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
26,4,FRAC,7124,7597,76062.0,GAL,X-LINKGEL,181069.0,LB,SAND,,31,,20/40,20# BORATE
26,5,ACID,6507,6683,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
26,6,FRAC,6507,6683,54642.0,GAL,X-LINKGEL,134833.0,LB,SAND,,32,,20/40,20# BORATE
31,1,ACID,7787,7968,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
31,2,FRAC,7787,7968,60459.0,GAL,X-LINKGEL,153975.0,LB,SAND,,30,,20/40,25# BORATE
31,3,ACID,7145,7303,2000.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
31,4,FRAC,7145,7303,70683.0,GAL,X-LINKGEL,182857.0,LB,SAND,,31,,20/40,20# BORATE
31,5,ACID,6368,6548,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
31,6,FRAC,6368,6548,55029.0,GAL,X-LINKGEL,136226.0,LB,SAND,,30,,20/40,20# BORATE
32,1,ACID,8093,8217,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
32,2,FRAC,8093,8217,65035.0,GAL,X-LINKGEL,158035.0,LB,SAND,,34,,20/40,25# BORATE
32,3,ACID,7455,7586,2000.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
32,4,FRAC,7455,7586,76818.0,GAL,X-LINKGEL,183180.0,LB,SAND,,30,,20/40,20# BORATE
32,5,ACID,6662,6834,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
32,6,FRAC,6662,6834,53592.0,GAL,X-LINKGEL,130655.0,LB,SAND,,30,,20/40,20#
33,1,FRAC,6175,7231,251400.0,GAL,W,51200.0,LB,SAND,,,SFAC,20/40,DETAILS: SLICK WTR; BRADY SD
33,2,FRAC,7641,7938,131800.0,GAL,W,49250.0,LB,SAND,,,SFAC,20/40,DETAILS: SLICK WTR; BRADY SD
35,1,FRAC,6326,7309,244700.0,GAL,W,55900.0,LB,SAND,,,,20/40,BRADY SD
35,2,FRAC,7411,8052,252900.0,GAL,W,99750.0,LB,SAND,,,,20/40,
36,1,FRAC,6282,7222,244700.0,GAL,W,55900.0,LB,SAND,,,SFAC,20/40,DETAILS: SLICK WTR; BRADY SD
36,2,FRAC,7356,7961,252900.0,GAL,W,99750.0,LB,SAND,,,SFAC,20/40,DETAILS: SLICK WTR; BRADY SD
37,1,FRAC,6315,7295,251400.0,GAL,W,51200.0,LB,SAND,,,SFAC,20/40,DETAILS: SLICK WTR; BRADY SD
37,2,FRAC,7402,8064,131800.0,GAL,W,49250.0,LB,SAND,,,SFAC,20/40,DETAILS: SLICK WTR; BRADY SD
38,1,FRAC,7743,8074,132000.0,GAL,W,50370.0,LB,SAND,,,SFAC,20/40,"DEATILS: SLCK WTR, BRADY SD"
38,2,FRAC,6275,7328,251600.0,GAL,W,51350.0,LB,SAND,,,SFAC,20/20,"DETAIL: SLCK WTR, BRADY SD"
40,1,FRAC,6326,7341,206800.0,GAL,W,42000.0,LB,SAND,,,,20/40,"DETAILS: SLK WTR, BRADY SD"
40,2,FRAC,7453,8133,167700.0,GAL,W,58975.0,LB,SAND,,,,20/40,"DETAILS: SLK WTR, B SAND"
42,1,BKDN,8412,8553,1750.0,GAL,A,0,undefined,undefined,,,HCL,,15%
42,2,FRAC,8412,8553,61583.0,GAL,X-LINKGEL,156624.0,LB,SAND,,35,SCIN,20/40,25# BORATE
42,3,ACID,7721,7825,3500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
42,4,FRAC,7721,7825,73893.0,GAL,X-LINKGEL,181374.0,LB,SAND,,32,SCIN,20/40,20# BORATE
42,5,ACID,6904,7074,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
42,6,FRAC,6904,7074,57222.0,GAL,X-LINKGEL,133082.0,LB,SAND,,32,,20/40,20# BORATE
42,7,ACID,9558,9725,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
42,8,FRAC,9558,9725,81650.0,GAL,GEL,17461.0,LB,SAND,,46,,20/40,10# LINEAR
42,9,ACID,9354,9424,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
42,10,FRAC,9354,9424,77011.0,GAL,GEL,16977.0,LB,SAND,,49,,20/40,10# LINEAR
42,11,ACID,8913,9151,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
42,12,FRAC,8913,9151,73425.0,GAL,GEL,18182.0,LB,SAND,,50,,20/40,10# LINEAR
44,1,BKDN,8333,8534,1750.0,GAL,A,0,undefined,undefined,2350,,HCL,,15%
44,2,FRAC,8333,8534,63982.0,GAL,X-LINKGEL,160889.0,LB,SAND,,35,SCIN,20/40,25# BORATE
44,3,ACID,7723,7846,2000.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
44,4,FRAC,7723,7846,76660.0,GAL,X-LINKGEL,191142.0,LB,SAND,,35,SCIN,20/40,20# BORATE
44,5,ACID,6916,7104,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
44,6,FRAC,6916,7104,54386.0,GAL,X-LINKGEL,131129.0,LB,SAND,,34,,20/40,20# BORATE
44,7,ACID,8691,8698,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
44,8,FRAC,8691,8698,68803.0,GAL,GEL,16772.0,LB,SAND,,50,,20/40,10# LINEAR
44,9,ACID,8800,8850,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
44,10,FRAC,8800,8850,67008.0,GAL,GEL,18228.0,LB,SAND,,50,,20/40,10# LINEAR
44,11,ACID,8958,8986,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
44,12,FRAC,8958,8986,66483.0,GAL,GEL,18153.0,LB,SAND,,49,,20/40,10# LINEAR
44,13,ACID,9252,9538,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
44,14,FRAC,9252,9538,78753.0,GAL,GEL,16847.0,LB,SAND,,35,,20/40,10# LINEAR
45,1,BKDN,8352,8693,1750.0,GAL,A,0,undefined,undefined,,,HCL,,15%
45,2,FRAC,8352,8693,73788.0,GAL,X-LINKGEL,155037.0,LB,SAND,,36,SCIN,20/40,25# BORATE
45,3,ACID,7710,7799,4000.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
45,4,FRAC,7710,7799,77458.0,GAL,X-LINKGEL,176963.0,LB,SAND,,32,SCIN,20/40,20# BORATE
45,5,ACID,6921,7075,3000.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
45,6,FRAC,6921,7075,57120.0,GAL,X-LINKGEL,138480.0,LB,SAND,,32,,20/40,20# BORATE
45,7,ACID,9452,9615,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
45,8,FRAC,9452,9615,82714.0,GAL,GEL,16706.0,LB,SAND,,41,,20/40,10# LINEAR
45,9,ACID,8970,9120,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
45,10,FRAC,8970,9120,76564.0,GAL,GEL,16133.0,LB,SAND,,43,,20/40,10# LINEAR
45,11,ACID,8824,8859,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
45,12,FRAC,8824,8859,76500.0,GAL,GEL,17161.0,LB,SAND,,46,,20/40,10# LINEAR
46,1,ACID,9430,9608,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
46,2,FRAC,9430,9608,55963.0,GAL,X-LINKGEL,101114.0,LB,SAND,,31,,20/40,
46,3,ACID,8922,9093,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
46,4,FRAC,8922,9093,66743.0,GAL,X-LINKGEL,135742.0,LB,SAND,,30,,20/40,25# LINEAR
46,5,BKDN,8351,8501,1750.0,GAL,A,0,undefined,undefined,2453,,HCL,,15%
46,6,FRAC,8351,8501,63390.0,GAL,X-LINKGEL,155000.0,LB,SAND,,30,SCIN,20/40,25# BORATE
46,7,ACID,7658,7815,2000.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
46,8,FRAC,7658,7815,75650.0,GAL,X-LINKGEL,182146.0,LB,SAND,,35,SCIN,20/40,20# BORATE
46,9,FRAC,6857,7025,55157.0,GAL,X-LINKGEL,128358.0,LB,SAND,,35,,20/40,
48,1,BKDN,8345,8497,1750.0,GAL,A,0,undefined,undefined,3451,,HCL,,15%
48,2,FRAC,8345,8497,63882.0,GAL,X-LINKGEL,157789.0,LB,SAND,,35,SCIN,20/40,25# BORATE
48,3,ACID,7661,7735,2000.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
48,4,FRAC,7661,7735,78623.0,GAL,X-LINKGEL,180130.0,LB,SAND,,33,SCIN,20/40,20# BORATE
48,5,FRAC,6847,7016,52356.0,GAL,X-LINKGEL,133421.0,LB,SAND,,32,,20/40,20# BORATE
48,6,ACID,9554,9663,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
48,7,FRAC,9554,9663,80840.0,GAL,GEL,18076.0,LB,SAND,,51,,20/40,10# LINEAR
48,8,ACID,9340,9496,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
48,9,FRAC,9340,9496,66301.0,GAL,GEL,17691.0,LB,SAND,,50,,20/40,10# LINEAR
48,10,ACID,8849,9089,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
48,11,FRAC,8849,9089,64990.0,GAL,GEL,16833.0,LB,SAND,,50,,20/40,10# LINEAR
49,1,ACID,9400,9558,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
49,2,FRAC,9400,9558,81119.0,GAL,GEL,16908.0,LB,SAND,,51,,20/40,10# LINEAR
49,3,ACID,8786,8938,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
49,4,FRAC,8786,8938,77875.0,GAL,GEL,18092.0,LB,SAND,,50,,20/40,10# LINEAR
49,5,BKDN,8329,8483,1750.0,GAL,A,0,undefined,undefined,,,HCL,,15%
49,6,FRAC,8329,8483,67632.0,GAL,X-LINKGEL,158388.0,LB,SAND,,40,SCIN,20/40,25# BORATE
49,7,ACID,7704,7724,2500.0,GAL,A,0,undefined,undefined,,,GLST,,7 1/2%
49,8,FRAC,7704,7724,75325.0,GAL,X-LINKGEL,179491.0,LB,SAND,,35,SCIN,20/40,20# BORATE
49,9,ACID,6847,6998,3000.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
49,10,FRAC,6847,6998,46105.0,GAL,X-LINKGEL,99142.0,LB,SAND,,32,,20/40,20# BORATE
52,1,FRAC,6926,7081,,,,133024.0,LB,SAND,,,,20/40,
52,2,FRAC,7773,7922,,,,181725.0,LB,SAND,,,,20/40,
52,3,FRAC,8408,8551,,,,156726.0,LB,SAND,,,,20/40,
52,4,FRAC,9153,9269,,,,16555.0,LB,SAND,,,,20/40,
52,5,ACID,9556,9676,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
52,6,FRAC,9556,9676,,,,18170.0,LB,SAND,,,,20/40,
53,1,FRAC,6272,7306,241752.0,GAL,W,61500.0,LB,SAND,,,SFAC,20/40,DETAILS: SLICK WTR; BRADY SD
54,1,FRAC,6224,7260,241752.0,GAL,W,61500.0,LB,SAND,,,,20/40,"DETAILS: SLICK WTR, BRADY SD"
54,2,FRAC,7678,8008,123732.0,GAL,W,61500.0,LB,SAND,,,,20/40,"DETAILS: SLICK WTR, B SD"
55,1,FRAC,6252,7294,251706.0,GAL,W,61500.0,LB,SAND,,,,20/40,BRADY SD
55,2,FRAC,7717,8013,123564.0,GAL,W,61500.0,LB,SAND,,,,20/40,BRADY SD
58,1,ACID,9493,9662,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
58,2,FRAC,9493,9662,81207.0,GAL,GEL,17927.0,LB,SAND,,51,,20/40,10# LINEAR
58,3,ACID,9296,9426,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
58,4,FRAC,9296,9426,74755.0,GAL,GEL,17155.0,LB,SAND,,50,,20/40,10# LINEAR
58,5,ACID,9012,9186,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
58,6,FRAC,9012,9186,74755.0,GAL,GEL,17155.0,LB,SAND,,51,,20/40,10# LINEAR
58,7,BKDN,8359,8509,1750.0,GAL,A,0,undefined,undefined,2603,,HCL,,
58,8,FRAC,8359,8509,64517.0,GAL,X-LINKGEL,158001.0,LB,SAND,,41,SCIN,20/40,25# BORATE
58,9,ACID,7725,7771,2000.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
58,10,FRAC,7725,7771,71209.0,GAL,X-LINKGEL,178279.0,LB,SAND,,34,SCIN,20/40,20# BORATE
58,11,ACID,6876,7027,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
58,12,FRAC,6876,7027,45604.0,GAL,X-LINKGEL,134736.0,LB,SAND,,35,,20/40,20# BORATE
59,1,BKDN,9566,9677,3000.0,GAL,A,0,undefined,undefined,4012,,HCL,,15%
59,2,FRAC,9566,9677,71137.0,GAL,GEL,17495.0,LB,SAND,,51,,20/40,10# WATER FRAC GEL
59,3,BKDN,9299,9326,3000.0,GAL,A,0,undefined,undefined,3380,,HCL,,15%
59,4,FRAC,9299,9326,69528.0,GAL,GEL,17372.0,LB,SAND,,52,,20/40,10# WATER FRAC GEL
59,5,BKDN,8963,9100,3000.0,GAL,A,0,undefined,undefined,2786,,HCL,,15%
59,6,FRAC,8963,9100,71141.0,GAL,GEL,17526.0,LB,SAND,,52,,20/40,10# WATER FRAC GEL
59,7,BKDN,8363,8513,1750.0,GAL,A,0,undefined,undefined,2786,,HCL,,15%
59,8,FRAC,8363,8513,54435.0,GAL,X-LINKGEL,155333.0,LB,SAND,,40,SCIN,20/40,25# BORATE
59,9,ACID,7675,7786,2000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
59,10,FRAC,7675,7786,68143.0,GAL,X-LINKGEL,180994.0,LB,SAND,,36,SCIN,20/40,20# BORATE
59,11,ACID,6864,7032,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
59,12,FRAC,6864,7032,51540.0,GAL,X-LINKGEL,146540.0,LB,SAND,,33,SCIN,20/40,20# BORATE
60,1,FRAC,6869,6914,,,,132626.0,LB,SAND,,,,20/40,
60,2,FRAC,7724,7742,,,,181093.0,LB,SAND,,,,20/40,
60,3,FRAC,8356,8507,,,,155541.0,LB,SAND,,,,20/40,
60,4,ACID,8963,9146,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
60,5,FRAC,8963,9146,,,,17263.0,LB,SAND,,,,,
60,6,ACID,9502,9633,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
60,7,FRAC,9502,9633,,,,17737.0,LB,SAND,,,,20/40,
61,1,FRAC,6192,7244,225400.0,GAL,W,61500.0,LB,SAND,,,SFAC,20/40,DETAILS: SLICK WTR; BRADY SD
61,2,FRAC,7659,7959,128000.0,GAL,W,61500.0,LB,SAND,,,SFAC,20/40,DETAILS: SLICK WTR; BRADY SD
63,1,BKDN,9450,9533,3000.0,GAL,A,0,undefined,undefined,3823,,HCL,,15%
63,2,FRAC,9450,9533,69886.0,GAL,GEL,16441.0,LB,SAND,,50,,20/40,10# WTR FRAC GEL
63,3,BKDN,9119,9219,3000.0,GAL,A,0,undefined,undefined,3475,,HCL,,15%
63,4,FRAC,9119,9219,69261.0,GAL,GEL,17487.0,LB,SAND,,50,,20/40,10# WTR FRAC GEL
63,5,BKDN,8893,8981,3000.0,GAL,A,0,undefined,undefined,2402,,HCL,,15%
63,6,FRAC,8893,8981,69966.0,GAL,GEL,17007.0,LB,SAND,,50,,20/40,10# WTR FRAC GEL
63,7,BKDN,8372,8472,1750.0,GAL,A,0,undefined,undefined,1740,,HCL,,15%
63,8,FRAC,8372,8472,56069.0,GAL,X-LINKGEL,156663.0,LB,SAND,,40,SCIN,20/40,20# BORATE
63,9,ACID,7744,7749,2000.0,GAL,A,0,undefined,undefined,,,HCL,,"DETAILS: 500 GALS 7 1/2%, 1500 GALS 15%"
63,10,FRAC,7744,7749,69955.0,GAL,X-LINKGEL,180821.0,LB,SAND,,35,SCIN,20/40,20# BORATE
63,11,ACID,6894,6940,1500.0,GAL,A,0,undefined,undefined,,,HCL,,7 1/2%
63,12,FRAC,6894,6940,50591.0,GAL,X-LINKGEL,134401.0,LB,SAND,,35,SCIN,20/40,20# BORATE
64,1,ACID,8365,8455,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
64,2,FRAC,8365,8455,57152.0,GAL,X-LINKGEL,28520.0,LB,SAND,,55,SCIN,20/40,20# BORATE
64,3,BKDN,7980,8111,3000.0,GAL,A,0,undefined,undefined,3875,,HCL,,15%
64,4,ACID,7980,8111,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
64,5,FRAC,7980,8111,63897.0,GAL,X-LINKGEL,155000.0,LB,SAND,,40,SCIN,20/40,25# BORATE
64,6,ACID,7525,7713,3000.0,GAL,A,0,undefined,undefined,,,HCL,,15%
64,7,FRAC,7525,7713,140345.0,GAL,X-LINKGEL,84000.0,LB,SAND,,53,,20/40,20# BORATE
66,1,FRAC,6878,9429,546126.0,GAL,W,,,,,,GELA,,"DETAILS: SLK WTR, AMBOR 1020, AMGEL 1010, 20%"
66,2,FRAC,6878,9429,,,,549100.0,LB,SAND,,,,20/40,BRADY SD
66,3,FRAC,6878,9429,,,,200008.0,LB,SAND,,,,30/50,OTTAWA SD
66,4,FRAC,6878,9429,,,,50000.0,LB,SAND,,,,16/30,BRADY SD
